protocol_id,x,elem_id,text,segmentation,seg_type,speaker,comments,facs,github,full_text_x,full_text_y
prot-1910--ak--057,76,i-KEm6zGBSzXyRhmcHbJEfbS,Hvad det andra skälet beträffar eller att genom bo,u,,,,https://betalab.kb.se/prot-1910--ak--57/prot_1910__ak__57-076.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1910/prot-1910--ak--057.xml#L6172,,Hvad det andra skälet beträffar eller att genom borttagande af
prot-1911--ak--024,11,i-9BrvoY7Ek5guxZKb5wf5u3,Nr 24.,margin,,,,https://betalab.kb.se/prot-1911--ak--24/prot_1911__ak__24-011.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1911/prot-1911--ak--024.xml#L921,,Nr 24.
prot-1911--ak--024,11,i-PfBmswTDwcZvwDnB9RyBGk,Angående ändring af vissa paragraferi värnpliktsla,margin,,,,https://betalab.kb.se/prot-1911--ak--24/prot_1911__ak__24-011.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1911/prot-1911--ak--024.xml#L924,,Angående ändring af vissa paragraferi värnpliktslagen. (Forts.)
prot-1911--ak--024,11,i-Q9UiD975TbYR2jCsBHc6xm,"12 Onsdagen den 29 mars, f. m.",margin,,,,https://betalab.kb.se/prot-1911--ak--24/prot_1911__ak__24-011.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1911/prot-1911--ak--024.xml#L927,,"12 Onsdagen den 29 mars, f. m."
prot-1911--ak--024,11,i-HobALetZe4stDh5DVdovm,"Man kan ju sätta i fråga, hvarför Kungl. Maj:t var",u,,,,https://betalab.kb.se/prot-1911--ak--24/prot_1911__ak__24-011.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1911/prot-1911--ak--024.xml#L931,,"Man kan ju sätta i fråga, hvarför Kungl. Maj:t varit så angelägen om att framlägga förslaget redan nu. Ja, det är redan antydt, men jag vill ytterligare framhålla, att redan nu förefinnes en brist på folk i första uppbådet, så att man här och hvar icke kunnat fylla ens linieafdelningarnas och dess depåafdelningars behof därifrån och säålunda ännu mycket mindre de smärre reservtruppförbands, som man med den nuvarande ringa tillgången på befäl söker att vid krigstillfälle uppsätta. Sålanda, både linien och dessa små reservtruppförband bestå af folk af olika kategorier, d. v. s. folk både aft första uppbådet och af andra uppbådet, alltså af personal, som är underkastad olika inkallningssätt och äfven olika tjänstgöringsskyldighet i händelse af krig."
prot-1911--ak--024,11,i-PY5KdShEkqUdgeaLrjzHSo,"Man har invändt, att antagandet af detta lagförsla",u,,,,https://betalab.kb.se/prot-1911--ak--24/prot_1911__ak__24-011.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1911/prot-1911--ak--024.xml#L947,,"Man har invändt, att antagandet af detta lagförslag skulle innebära ett försvagande af den nuvarande organisationen därigenom, att, därest icke reservorganisationen blir antagen, åldern i landstormen skulle bli för hög. Det är ett fullkomligt misstag. Om man ser på värnplikslagen, $ 33, finner man, att det finnes redan nu en bestämmelse, som säger, att beväringsman, som icke blifvit inkallad, är skyldig att inställa sig till tjänstgöring i landstormen. Däraf följer naturligtvis, att, därest landstormen inkallas, alla värnpliktige, som icke blifvit inkallade till linien eller dess depåafdelningar, komma att inställa sig vid landstormen, och då är det gifvet, att man i första hand tager i anspråk de yngre årsklasserna så långt ske kan. Någon höjning i lefnadsåldern för landstormen komme således ej att inträffa."
prot-1911--ak--024,11,i-Tk4Spp5tJtmTobo5fCLxnT,"Man har vidare antydt, att antagandet af detta lag",u,,,,https://betalab.kb.se/prot-1911--ak--24/prot_1911__ak__24-011.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1911/prot-1911--ak--024.xml#L964,,"Man har vidare antydt, att antagandet af detta lagförslag möjligen skulle kunna innebära eller utgöra ett hinder, då man sedermera skulle definitivt bestämma sig för en reservorganisation. Såvidt Jag kan se, kan detta icke innebära hinder för någon annan reservorganisation än den, man tänkt sig i mycket stor skala: upprättande af en lika stor reservarmé som vår nuvarande liniearmé. Ja, jag antager, att Riksdagen icke skulle vilja vara med om en dylik stor organisation, som säkerligen betingade många, många millioner i kostnader; men äfven om så skulle vara, anser jag för min del, att en sådan organisation icke vore synnerligen lycklig. BSåvidt jag förstår, vore den icke fotad på sunda försvarsprinciper. Med vårt läge är förhållandet sådant, att skall man kunna på förmånligt sätt genomföra försvaret, måste man tillvarataga en faktor, som är under vissa förhållanden lika viktig som antalet soldater, nämligen tiden. Denna viktiga faktor ser man ofta bort ifrån. Det gynnsammaste ögonblicket i vårt försvar inträffar, såvidt jag förstår, i regeln under krigets allra första skede, då det är möjligt att, om man verkligen är slagfärdig, kunna kasta sig öfver de styrkor, som först vilja beträda vår jord. Om man nu har väldiga reservorganisationer, så kunna icke dessa åstadkommas med mindre, än att linien i viss mån lider intrång däraf, och man kan aldrig tänka sig, att, hur fullkomlig än en reservorganisation af sådant omfång kan vara, den skall kunna bli lika fort färdig som linien. Därat följer, att vill man begagna de gynnsamma ögonblicken, hvilket man ovillkorligen bör, måste linien ensam ge sig ut och upptaga de afgörande striderna, uuder det att reservtrupperna ännu befinna sig på sina utrustnings-"
prot-1912--ak--008,20,i-CT8eoBuB4fiAy2Rycrnv2T,Lördagen den 17 februari. 21,margin,,,,https://betalab.kb.se/prot-1912--ak--8/prot_1912__ak__8-020.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1912/prot-1912--ak--008.xml#L1511,,Lördagen den 17 februari. 21
prot-1912--ak--008,20,i-EhqZpoer2ND4e6wZEmP2UA,annat på Kungl. Maj:ts behandling beroende lagstif,u,,,,https://betalab.kb.se/prot-1912--ak--8/prot_1912__ak__8-020.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1912/prot-1912--ak--008.xml#L1515,,"annat på Kungl. Maj:ts behandling beroende lagstiftningsärende, så i författning om omarbetning af ifrågavarande förordning. I det fallet ber jag till en början att få påpeka, att justitieombudsmannen själf år 1910 ingått till Kungl. Maj:t med en skrifvelse, däri han framlagt just detta ärende till Kungl. Maj:ts bedömande. Den af justitieombudsmannen då aflåtna skrifvelsen är till hela sin motivering ordagrannt lika med den framställning, som justitieombudsmannen nu gjort till Riksdagen. Således har genom Justitieombudsmannens eget ingripande detta ärende redan blifvit rramlagdt för Kungl. Maj:t till behjärtande, och detta så nyligen som år 1910. Om nu Riksdagen skulle ytterligare stryka under denna = justitieombudsmannens framställning genom att själf så in till Kungl Maj:t och begära detsamma, som justitieombudsmannen = gjorde 1910, så borde det naturligtvis motiveras däraf, att praktiskt taget några kännbara olägenheter, några verkligen anmärkningsvärda fall hade förekommit. Men några sådana känna vi icke till. Justitieombudsmannen har endast talat om att olägenheter förekommit därutinnan, att tvist uppstått, huruvida lagrummet skulle tolkas så eller så. Men några konkreta fall, då dylika skiljaktiga tolkningar kommit till synes, ha icke blifvit uppgifna, och jag har icke heller kunnat få fram några sådana, Om det verkligen förekommit en tvist härom vid domstol, så hade domstolen naturligtvis meddelat ett utslag, och antagligen hade vi då haft ett prejudikat i saken. Denna sak är för öfrigt icke så svår att knäcka, som åtskilliga måhända äro böjda att tro. Och det kan naturligtvis icke vara skäl för Riksdagen att hos Kungl Maj:t begära att få en lagändring allenast därför, att en del Jurister äro oense om, hur ett lagrum skall tolkas; detta är i och för sig ingalunda ett tillräckligt starkt motiv för en dylik åtgärd. Så kommer härtill, att, såsom utskottet erinrat, frågan står på dagordningen, i det den är uppförd på arbetsprogrammet för den interskandinaviska oblisationsrättskommittén, visserligen icke på den del af samma program, som f. n. är föremål för bearbetning, men på den del, som skall tagas upp, så fort kommittén hunnit öfver den, som nu bearbetas."
prot-1912--ak--008,20,i-8s8WAt7Rj5hAijFDnhtC8Q,"Om man summerar ihop de nu angifna synpunkterna, s",u,,,,https://betalab.kb.se/prot-1912--ak--8/prot_1912__ak__8-020.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1912/prot-1912--ak--008.xml#L1553,,"Om man summerar ihop de nu angifna synpunkterna, så blir resultatet, att själfva saken, som herrarna finna, är mycket ringa, att justitieombudsmannen 1910 skrifvit till Kungl. Maj:t och fäst uppmärksamheten på Just den sak, som det nu är fråga om, att frågan är uppförd på programmet för ett lagstiftningsarbete, som inom kort skall tagas upp, och att ingen fara ligger i ett dröjsmål. Föreligga då under sådana omständigheter tillräckliga skäl för, att Riksdagen skrifver och begär en lagändring härvidlag? På den frågan kan jag icke svara annat än nej. Och i enlighet med denna uppfattning biträder jag utskottets yrkande och anhåller om bifall till detsamma."
