protocol_id,x,elem_id,text,segmentation,seg_type,speaker,comments,facs,github,full_text_x,full_text_y
prot-1867--ak--0329,53,i-4iPwsiY7u1Dk9CmMVUkP8H,"36 Den 29 Mars, e. m,",margin,,,,https://betalab.kb.se/prot-1867--ak--0329/prot_1867__ak__0329-053.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1867/prot-1867--ak--0329.xml#L4118,,"36 Den 29 Mars, e. m,"
prot-1867--ak--0329,53,i-Bi38t2DvX9rXmatiqSC14g,"ungdom, utan hafva anländt från Rikets alla delar,",u,,,,https://betalab.kb.se/prot-1867--ak--0329/prot_1867__ak__0329-053.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1867/prot-1867--ak--0329.xml#L4122,,"ungdom, utan hafva anländt från Rikets alla delar, och än mindre för att tillgodose en enskild persons egennytta, ty hvad som grundat denna läroanstalt är ej egennytta, utan det varmaste och renaste nit för landtbruksnäringens förkofran."
prot-1867--ak--0329,53,i-54q53bKAyagyG53yKzibAd,Jag vill ej här trötta med en utförligare framstäl,u,,,,https://betalab.kb.se/prot-1867--ak--0329/prot_1867__ak__0329-053.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1867/prot-1867--ak--0329.xml#L4130,,"Jag vill ej här trötta med en utförligare framställning i ämnet, men tillåter mig dock att med några få ord beröra uppkomsten af ifrågavarande inrättning."
prot-1867--ak--0329,53,i-SirP63DbAtQsdBLwtuz2Eb,Stiftaren af densamma hade under loppet af flera å,u,,,,https://betalab.kb.se/prot-1867--ak--0329/prot_1867__ak__0329-053.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1867/prot-1867--ak--0329.xml#L4137,,"Stiftaren af densamma hade under loppet af flera år haft en undervisningsanstalt för ynglingar, som ämnade utbilda sig till landtbrukare. Under undervisningens gång märkte han alltför tydligt de olägenheter, som vid densamma uppkommo, derigenom att de fleste af eleverna saknade nödiga elementära förkunskaper, och han hade dessutom gjort samma observation den tid han sjelf genomgick landtbruksskolan vid Degeberg. Med tanken härpå inrättade han sin nuvarande skola, vid hvars vidare utbildning han jemväl lade till grund exemplet från den berömda landtbruksskolan i Cirencester. På detta sätt uppkom en skola, som är en förening emellan landtbruksskolan och elementarskolan, hvilken lemnar fullständig undervisning i humanistiska, företrädesvis reala ämnen, men ock i allt hvad till landtbruket hör. Det är ej meningen att skolan skall vara en landtbruksskola i egentlig mening. Undervisningen i de humanistiska kunskapsgrenarne är det hufvudsakliga, men stittaren har med skäl ansett, att man skulle bereda eleverna både nytta och nöje, om de under mellanstunderna finge sysselsätta sig med ett praktiskt studium och ett praktiskt yrke såsom landtbruket. Under de tre år, som undervisningen på detta sätt fortgått, har densamma jemväl lemnat de bästa resultat. Den har pådrifvits så raskt, att en elev, som vid inträdet i skolan endast egde de för inträde i elementarskolans femte klass nödiga kunskaper, efter dessa tre års förlopp är färdig att aflägga maturitetsexamen i Calmar."
prot-1867--ak--0329,53,i-5UuFU5QRxoLgMcB9FNFejx,"Man har sagt, att denna landtbruksskola skulle ega",u,,,,https://betalab.kb.se/prot-1867--ak--0329/prot_1867__ak__0329-053.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1867/prot-1867--ak--0329.xml#L4164,,"Man har sagt, att denna landtbruksskola skulle ega det felet, att den yngling, som 1 skolan inträdde, skulle tvingas vid allt för tidiga år bestämma sig för landtbruksyrket."
prot-1867--ak--0329,53,i-7QqAUqTj49ar58ZaPs4ZLE,Jag bestrider detta. Den som inträder i skolan har,u,,,,https://betalab.kb.se/prot-1867--ak--0329/prot_1867__ak__0329-053.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1867/prot-1867--ak--0329.xml#L4171,,"Jag bestrider detta. Den som inträder i skolan har dermed ingalunda gjort ett bestämdt val af yrke, ty, såsom jag förut haft äran anföra, utbildas eleven icke ensamt eller ens hufvudsakligast för landtbruket, utan erhåller derjemte en fullständig elementär underbyggnad, och när han utgår ur skolan står verlden honom lika öppen, som om han genomgått den allmänna elementarskolan på den reala linien."
prot-1867--ak--0329,53,i-UmFQW6ZvKsDUTh9EH6asnF,Han har visserligen åtskilliga kunskaper i landtbr,u,,,,https://betalab.kb.se/prot-1867--ak--0329/prot_1867__ak__0329-053.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1867/prot-1867--ak--0329.xml#L4182,,"Han har visserligen åtskilliga kunskaper i landtbruk, men dessa hafva ej blifvit förvärfvade på bekostnad af de elementära studierna; tvärtom hafva de bidragit att åt dessa sednare skänka en sund, kraftig och praktisk rigtning. Kunskapen är ej tung att bära på, och jag tror sannerligen att ingen kommer att ångra de insigter han förskaffat sig i landtbruket och dess binäringar, ty af inga andra torde man i allmänhet kunna hemta så stora fördelar, så helsosamma och uppfriskande njutningar."
prot-1867--ak--0329,53,i-LkHjTP8dA66t2Sff8RDvFo,"Jag yttrade, att landtbruksskolan vid Ryssbylund å",u,,,,https://betalab.kb.se/prot-1867--ak--0329/prot_1867__ak__0329-053.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1867/prot-1867--ak--0329.xml#L4194,,"Jag yttrade, att landtbruksskolan vid Ryssbylund åsyftar och verkligen meddelar sina lärjungar samma bildningsgrad som den reala linien inom elementarläroverken. Kanske frågar man med anledning häraf, hvarföre ynglingen för ernående af dessa kunskaper ej lika gerna kan välja ett vanligt elementarläroverk som denna specialskola. Jag bör härvid"
prot-1868--ak--0401,25,i-LZhtx9RmwDaQ3K6GAC7UeT,"Den 1 April, f. m. 63",margin,,,,https://betalab.kb.se/prot-1868--ak--0401/prot_1868__ak__0401-025.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1868/prot-1868--ak--0401.xml#L1860,,"Den 1 April, f. m. 63"
prot-1868--ak--0401,25,i-SKxob1vQBMYFGSMcCvfUTo,kor. Deremot bibehöll lagberedningen äfven den ome,u,,,,https://betalab.kb.se/prot-1868--ak--0401/prot_1868__ak__0401-025.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1868/prot-1868--ak--0401.xml#L1864,,"kor. Deremot bibehöll lagberedningen äfven den omedelbara bysättningen, om än i väsendtlig mån inskränkt. Beredningen ansåg dermed ett stort steg vara uttaget; och endast en dess ledamot reserverade sig och önskade gå än längre eller just derhän som den Kongl. Propositionen. I anledning deraf yttrade Richert: att han vore fullkomligt öfvertygad derom, att hela bysättningslagen skulle komma till denna enkla bestämmelse ; men, tillade han, ""jag tror, i detta som i andra stycken, att man ej hinner målet i ett steg, och derföre har jag ansett pluralitetens förslag kunna begagnas såsom en öfvergång till något bättre.<"
