text,true_label,predicted_label,predicted_score,github,protocol_id
Efter föredragning häruppå af statsutskottets utlåtande no 43 i anledning af Kungl Majts proposition angående upplåtelse af tomtplatser å kronoparken Bjurfors i Kopparbergs län begärdes ordet af,note,seg,0.5885866,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1905/prot-1905--ak--034.xml#L59,prot-1905--ak--034
No 47 36 Fredagen den 21 Maj f m,note,seg,0.5584909,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1909/prot-1909--fk--047.xml#L2550,prot-1909--fk--047
Punkterna 7 och 8 Vad utskottet hemställt bifölls,note,seg,0.54955935,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1963/prot-1963--fk--027.xml#L10348,prot-1963--fk--027
Om upphävande av etableringsstoppet för tandläkare mm,note,seg,0.61681855,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1974/prot-1974--126.xml#L2988,prot-1974--126
36 Lördagen den 6 April,note,seg,0.6068959,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1895/prot-1895--fk--020.xml#L3054,prot-1895--fk--020
betjänte,note,seg,0.51970226,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1908/prot-1908--ak--061.xml#L1670,prot-1908--ak--061
Onsdagen den 5 mars 1975,note,seg,0.63417286,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1975/prot-1975--030.xml#L4541,prot-1975--030
ec ) Lindblad,note,seg,0.5885866,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1902/prot-1902--ak--037.xml#L188,prot-1902--ak--037
att det anmärkta förhållandet ej för närvarande måtte till någon Riksdagens åtgärd föranleda,note,seg,0.5584909,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1877/prot-1877--ak--023.xml#L2381,prot-1877--ak--023
I sammanhang härmed hade utskottet till behandling förehaft en inom Första Kammaren af herr Knut Bohnstedt väckt motion ( no 65 ) däri föreslagits att Riksdagen med afslag å Kungl Majts proposition angående förflyttning af flottans station till Elfvik måtte dels medgifva att till plats för ny flottstation finge upplåtas det område af Norra Djurgården vid Lilla Värtan och Lindarängen Kaknäs som af 1900 och 1906 års kommitterade angifvits dels besluta att för 1908 anvisa ett belopp af 3000000 kronor för påbörjande af en ny flottstation vid LindarängenKaknäs på grundvalen af utsedda sakkunniges till chefen för sjöförsvarsdepartementet den 21 april 1906 afgifna förslag med rätt för Kungl Majt att låta af detta belopp redan innevarande år utanordna hvad som kräfves för inlösen af mark och byggnader för detaljundersökningar och arbetets organisation,note,seg,0.60985285,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1907/prot-1907--fk--037.xml#L139,prot-1907--fk--037
