content,tag,github,protocol_id
Fredagen den 19 februari Kompletteringsväl till utskott    se ia ere esccbsssenfr rs,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--068.xml#L237,prot-198788--068
7 74,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--068.xml#L241,prot-198788--068
TS,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--068.xml#L244,prot-198788--068
7,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--068.xml#L247,prot-198788--068
79,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--068.xml#L250,prot-198788--068
80,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--068.xml#L253,prot-198788--068
81,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--068.xml#L256,prot-198788--068
82,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--068.xml#L259,prot-198788--068
87,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--068.xml#L262,prot-198788--068
88,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--068.xml#L265,prot-198788--068
89,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--068.xml#L268,prot-198788--068
91,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--068.xml#L271,prot-198788--068
9,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--068.xml#L274,prot-198788--068
99,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--068.xml#L277,prot-198788--068
922,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--068.xml#L280,prot-198788--068
93,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--068.xml#L283,prot-198788--068
Prot 1987886874,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198788/prot-198788--068.xml#L286,prot-198788--068
GUDRUN SCHYMAN (vpk) replik,intro,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198990/prot-198990--007.xml#L14159,prot-198990--007
Herr talman Jag noterar att Lennart Pettersson talar om schablondiskussioner när han talar om mina inlägg Det är schabloner som jag kommer med Jag tycker att Lennart Pettersson kommer med just den typen av schabloner som är typiska för socialdemokraterna när de skall diskutera EG Man säger nämligen att vi skall integrera så mycket som möjligt men vi skall inte göra avkall på någonting Vår förhoppning är att kunna integrera Sverige med EG utan att släppa på våra ambitioner inom sysselsättningspolitiken miljöpolitiken och välfärdspolitiken Detta har varenda minister sagt när en fråga ställts om EGpolitiken Visst kan det vara en from förhopp,seg,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198990/prot-198990--007.xml#L14163,prot-198990--007
Prot 1989907,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198990/prot-198990--007.xml#L14176,prot-198990--007
11 oktober 1989,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198990/prot-198990--007.xml#L14179,prot-198990--007
163,note,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198990/prot-198990--007.xml#L14182,prot-198990--007
ing men mer kan det faktiskt inte vara Skulle det lyckas skriver man i 90 talsrapporten kommer produktiviteten resurserna och välfärden att öka,seg,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198990/prot-198990--007.xml#L14186,prot-198990--007
Men man ställer sig frågan  jag gör det och Sven Lindqvist har gjort det på ett ypperligt sätt i Dagens Nyheter i dag  hur det går om det inte skulle lyckas Skulle då EGintegreringen plötsligt upphöra Skulle de svenska företagen plötsligt flytta tillbaka till Sverige igen Kan vi då backa hela utvecklingen och säga Oj då det gick visst inte som vi hade trott Vi börjar om från början Det menar jag inte kommer att vara möjligt Då sitter vi där Då får vi ta skeden i vacker hand Då får vi konstatera att det faktiskt inte gick att göra denna integration och samtidigt bibehålla alla dessa ambitioner,seg,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/198990/prot-198990--007.xml#L14191,prot-198990--007
