content,tag
Fredagen den 19 februari Kompletteringsväl till ut,note
7 74,note
TS,note
7,note
79,note
80,note
81,note
82,note
87,note
88,note
89,note
91,note
9,note
99,note
922,note
93,note
Prot 1987886874,note
GUDRUN SCHYMAN (vpk) replik,intro
Herr talman Jag noterar att Lennart Pettersson ta,seg
Prot 1989907,note
11 oktober 1989,note
163,note
ing men mer kan det faktiskt inte vara Skulle d,seg
Men man ställer sig frågan  jag gör det och Sve,seg
Vad gäller den offentliga sektorn säger Lennart Pe,seg
Skattepolitiken kommer naturligtvis att inverka på,seg
Prot 198990117 8 maj 1990,note
Svar på frågor,note
62,note
Fram till dess gäller det nuvarande statsbidragssy,seg
För de skolor som har akuta ekonomiska problem har,seg
Några åtgärder från regeringens sida är således fö,seg
Anf 150 BIRGER HAGÅRD (m),intro
Herr talman Jag ber att få tacka statsrådet Perss,seg
AnnCathrine Haglund är på grund av tjänsteresa i,seg
I hastigheten råkade statsrådet förväxla våra fråg,seg
Tyvärr kan man konstatera att de fristående skolor,seg
Detta gör att i synnerhet det sista avsnittet i st,seg
Utskottet anslöt sig till vad som hade anförts i p,seg
Likställigheten ifrågasätts nu I Norrköping tex,seg
Det finns exempel där anhöriga anställts för en ar,seg
Fru talman I propositionen föreslås också att möj,seg
Ett helt enigt utskott står bakom dessa punkter o,seg
LSSLASS senareläggs med en månad till den 1 febru,seg
Enighet råder också beträffande den frågeställning,seg
Fru talman Skiljelinjen i utskottet handlar om sy,seg
LSSLASS att vårdhemmen skulle kunna vara kvar,seg
I två motioner från Moderaterna respektive kds upp,seg
Fru talman Frågan om avvecklingen av specialsjukh,seg
Det är viktigt att vårdhemmen blir en parentes i v,seg
Många av oss i utskottet har träffat Åke Johansso,seg
sinneslöanstalt Jag hoppas att de som fått Åke,seg
Jag anklagar inte generellt de som var verksamma p,seg
Fru talman Lennart Brunander har frågat mig om re,seg
Jag håller med Lennart Brunander när han i sin frå,seg
miljoner kg måste en tilläggsavgift betalas till E,seg
Det finns en möjlighet till omfördelning av mjölkk,seg
Dessa köp och säljtillfällen är alltså en åtgärd,seg
Av vad jag nu har sagt framgår att regeringen inte,seg
Anf 20 LENNART BRUNANDER (c),intro
Fru talman Jag tackar jordbruksministern för svar,seg
Mjölkkvoter och fördelning av mjölkkvoter har bliv,seg
Jag var ute och talade med en del mjölkbönder häro,seg
Orsaken till att det blivit så är naturligtvis att,seg
Fru talman Jag kan hålla med statsrådet om att a,seg
Jag vet att många människor här i Sverige nästan ,seg
Där man har försökt detta har resultatet alltid b,seg
Det är klart att det är svårt för statsrådet att s,seg
Jag tror inte att detta är en signal till dem som,seg
Överläggningen var härmed avslutad,note
6  Hänvisning av ärenden till utskott,note
Föredrogs och hänvisades,note
Propositioner,note
19959636 och 132 till utrikesutskottet,note
7  Bordläggning,note
Anmäldes och bordlades,note
Konstitutionsutskottets betänkande,note
199596KU23 Offentlighet och sekretess,note
199596KU24 Några frågor om sekretess,note
När det gäller familjerådslag tycker jag att det ä,seg
Söderhamns kommun är den kommun som har kommit lä,seg
För mig har denna kommun blivit den goda förebilde,seg
Men än är det inte för sent Röstar Centern och,seg
Vänsterpartiet med oss andra  Miljöpartiet Moder,seg
Fru talman Jag passar här på att yrka bifall till,seg
Vi i Miljöpartiet vill också tillsätta en kommitté,seg
Under den senaste tiden har jag vid ett flertal ti,seg
Ett flertal personer som utretts har gjort gälland,seg
De påståenden som jag beskrivit har framförts till,seg
Det är min övertygelse och förhoppning att de allr,seg
När barn far illa är det samhällets skyldighet att,seg
En annan viktig fråga som vi tar upp är att man bö,seg
Fru talman När det gäller socialtjänstlagen i övr,seg
Anf 14 Statsrådet PIERRE SCHORI (s),intro
Fru talman Viola Furubjelkes interpellation uppmä,seg
Biståndets roll att genom fattigdomsbekämpning fu,seg
Mot denna bakgrund ställs frågan om jag är beredd,seg
Svaret är ja Det är en angelägen uppgift att i ri,seg
talet,seg
Frågan om en biståndspolitisk översyn har rests må,seg
De mänskliga rättigheterna hålls fram som bärare a,seg
Partnerskapstanken styr alltmer våra sätt att sama,seg
Fred demokrati och utveckling är intimt sammanlä,seg
Under senare år har både Sida och regeringen bedri,seg
På många sätt har därför förutsättningar skapats f,seg
2000talet Utvecklingssamarbetets roller samarbe,seg
De skrivelser som regeringen presenterat om fattig,seg
Ryssland Det vore i så fall väldigt intressant at,seg
Vad gäller Lennart Klockares fråga om att tänka me,seg
Anf 22 OLLE LINDSTRÖM (m),intro
Fru talman Harmonisering av skatter och lagstift,seg
Jag vill nog inte ägna tiden åt detta just nu eft,seg
Låt mig ändå säga att om statsrådet nu vill kalla,seg
Jag har haft kontakter med bla Swedish Center i,seg
Luleå Där har man ungefär samma uppfattning om re,seg
Umeå har också samma uppfattning Det näringsområd,seg
Alltså menar jag att vi i alla fall inte i tillräc,seg
Östersjösamarbetet Det är viktigt att det förs fr,seg
Jag deltog i den regionalpolitiska debatten under,seg
Jag skulle kunna fortsätta ytterligare ett tag och,seg
Anf 23 Statsrådet LEIF PAGROTSKY (s),intro
Fru talman Det var en överraskning för mig Jag t,seg
Den handlar om vad han själv avser när han säger a,seg
Jag tycker att det var en konstig fråga och jag v,seg
Anf 140 JOHAN LÖNNROTH (v) replik,intro
Fru talman Att jag står bakom denna reservation b,seg
Jag vill säga ytterligare några ord om det andra r,seg
Jag är alltså så konservativ att jag i stort sett,seg
Bergqvists reservation till 1993 års riksbanksutre,seg
Vi är helt överens om att inflationen måste hållas,seg
Anf 141 JAN BERGQVIST (s) replik,intro
Fru talman Johan Lönnroth har faktiskt inget bra,seg
Men hur Riksbanken skulle agera om man låg motsvar,seg
Anf 142 LENA EK (c),intro
Fru talman och ledamöter Vi i Centerpartiet ställ,seg
Öppenhet är viktigt också därför att det blir en l,seg
Vi ser tjänstesektorn som en stor framtida tillväx,seg
I den här reservationen skriver vi tillsammans med,seg
Det är viktigt att vi skapar goda förutsättningar,seg
