content,tag
Herr talman Jag skall huvudsakligennuppehålla mig vid vad som står i bevillningsutskottetsn betänkande men jagnkanske säger några ord därutöver,seg
Vad beträffar bevillningsutskottets betänkanden i anledning av kompletteringspropositionenn måste jag säga att oppositionensn reservationer är det magrastensom jag har sett hittills i detta sammanhangn Delvis kan det bero på att vi redann har beslutat om skattepaketet ochndet nu bara gäller uttagningsprocentenn på den punkten tillstyrker utskottetnenhälligt 100 procent,seg
Moderata samlingspartiet upprepar instort sett de förslag som det redan tidigaren har fått avslag på av riksdagennMan begär en begränsning av den offentligan sektorns tillväxt och på siktnvill man ha skattelättnader och åtgärdern för att stimulera till ett ökat personligtn sparande Det här är ju endastnallmänna talesätt och inte några förslagntill konkreta åtgärder,seg
Mittenpartierna nöjer sig nu med attnavge en blank reservation,seg
Nu har folkpartiets ledare herr Helénnförklarat att även folkpartiet skall medverkan till en minskning av den offentligan sektorn och han anser tydligen ennnedskärning med 2 miljarder vara lagomn Man frågar sig då på vilka områdenn nedskärningar skall ske och besparingarn göras Hittills  och senast undern skattedebatten  har vi mest settnöverbud som skulle medföra en minskningn av de statsfinansiella resursernanmed flera miljarder,seg
Ämnar nu moderata samlingspartietnåtergå till den Hjalmarsonska politikennoch folkpartiet till Ohlins och Wedénsnpolitik från slutet av 1950talet då Hjalmarsonn sade att folk genom skatter ochnsociala förmåner bara byter pengarnmed varandra och Wedén skrev om,seg
Det vore också lyckligt för finansministernn eftersom han då inte behövern bli illamående av att motståndarenhar andra meningar Om finansministernn accepterar att det finns och börnfinnas andra meningar och är villig attndiskutera dem på ett seriöst sätt trornjag att finansministern inte kommer attnmå illa inför en debatt där andra meningarn förs fram,seg
Jag tror det är bra att vi inte plötsligtnbörjar kalla förslag som alldeles obestridligtn gäller lättnader för låginkomsttagaren för stöd åt höginkomsttagarenFörvirringen i debatten blir total omnvi inte på ömse sidor behåller de gamian benämningarnas innehåll Vi kan intenge nytt innehåll åt våra gamla svenskanord,seg
Jag tror det är bra om vi nämner sakern vid deras rätta namn och inte talarn om exempelvis skattesänkningar förntvå tredjedelar när det måste bli skattehöjningarn för stora grupper Det ärninte att förblanda med huruvida vi ärnöverens eller inte om nivåerna Vi börnkalla det för vad det är,seg
Men hur går det då att sänka skatternan för två tredjedelar av vårt folknHerr Sträng har ju sagt att vi inte harnså gott om besuttna i detta land att dennan kategori kan betala skattesänkningarn Vi får i stället allesammans varanmed om detta Det är alltså alla vanliganmedborgare som får vara med att betalan,seg
