content,tag
Anf 158 PER GAHRTON (mp),intro
Anf 159 Försvarsminister ROINE CARLSSON,intro
Anf 11 ARNE ANDERSSON i Ljung (m),intro
Fru ANÉR (fp) som yttrade,intro
Ordet lämnades på begäran till,intro
Herr Karlsson Oscar Gottfrid Herr talman Den fråga vi här behandlangäller huruvida man skall utsträcka rösträtten även till de yngre årsklassernand v s så att den även skall gälla dem som föregående år ha fyllt 21 årnDetta är ett krav som vi inom det parti jag har äran tillhöra under en långnföljd av år ha velat förverkliga Men vi ha inte lyckats komma därhän,intro
Herr statsrådet ERICSSON Herr talmann Flera talare ha framhållit att förslagetn avser att i någon mån stödja strävandenan att exportera mera på hårdvalutamarknadernan och framför allt pånFörenta staterna Det har vidare sagtsnatt vi behöva en större differentiering avnvår export eftersom det nu i huvudsaknär tre varugrupper som komma i fråganmassa malm samt järn och stål Om vinskola ha möjligheter att få de inkomsternfrån t ex Förenta staterna som vi Önskan för att kunna köpa där ute tror jag vinmåste lägga ned mera arbete än vi hangjort tidigare för att på ett mera beständigtn sätt komma in på den amerikanskanmarknaden Det har framhållits att detnsäkerligen kan ske utan dessa stödåtgärdern i varje fall när det gäller de störrenföretagen Det kan ligga någon sanningni detta i fråga om de större företagennMen detta förslag syftar främst till attnunderlätta för de mindre företagen attnkomma ut med sina varor,intro
Herr Johansson i Uppmälby Herr förste vice talman ärade kammarledamötern Jag blev litet förvånad när denna motion väcktes och blev remitteradn till jordbruksutskottet Denna motion är väckt av ett par ledamöter inden så kallade jordbruksutredningen och de väckte denna motion innan ens derasn kommittébetänkande fanns tillgängligt i tryck Det var ju först under börjann av detta år som detta kommittébetänkande kom till allmänhetens kännedomn Jag förstår mycket väl dessa sakkunniga De hava väl resonerat som sånatt alla de förslag som de lägga fram äro så utomordentligt väl avfattade attndet är ingen möjlighet att det kan komma någon kritik från något håll däremotn I annat fall tycker jag att de skulle åtminstone hava dröjt till dessnatt remisstiden hade utgått eller åtminstone till dess att deras betänkande funnitsn tillgängligt i tryck,intro
Försvarsministern LARS DE GEER erhöll ordet för att besvara ÅkenPolstams (c) den 2 mars anmälda fråga 197879398 och anförde,intro
Herr Gustavson Herr talman Det hittills tillämpade systemet i fråga omnfamiljebeskattningen har råkat i en återvändsgränd Verkningarna av å enansidan de bevillningsfria skatteavdragen och å den andra den allmänna omsättningsskattenn som just drabbar de barnrika familjerna hårdast korsa varandran och ett ganska förvirrat läge föreligger obestridligen Det synes somnom en utredning vilken berör båda dessa faktorer vore synnerligen välmotiveradn Systemet med rabatter som plåster åt omsättningsskattens offer görnicke läget klarare,intro
Herr Andersson Gustav Emil Herr andre vice talman När jag hörde herrnBjörkmans yttrande kunde jag inte underlåta att komma med en gensaga Jagnbor själv i en utpräglad småbrukarbygd med små skogsarealer men det harnallmänt omvittnats från skogssakkunnigt håll att uttaget av gagnvirke pernhektar blir lika stort i välskötta småbondeskogar som i de stora bolagsskogarnanFör en del år sedan gjordes en undersökning i två län nämligen Uppsala länndär det finns rätt många storbolagsskogar och Kronobergs län som är ettnav de mest utpräglade småbrukarlänen Det visade sig att av den samladenskogsarealen var det uttaget förhållandevis mera gagnvirke i Kronobergs lännän i Uppsala län Detta visar att småbondeskogsbruket kan väl hävda signmot storskogsbruket när det förra sköts på rätt sätt som numera i allmänhetn sker Av herr Björkmans resonemang måste man ovillkorligen draga dennslutsatsen att han menar att det är viktigare att bolagen få behålla sinanstora skogar än att mindre jordbrukare få litet mera skog för att kunnanexistera på sina i övrigt inte fullständiga jordbruk Det går ju inte att skapansådana familjejordbruk överallt i skogsbygderna utan det måste bli kvarnen del mindre gårdar vilkas ägare skaffa sig inkomster utanför gårdarnanoch det sker då i regel i skogarna genom skogsarbete eller körning Även om denha tillräckligt med skogsmark händer det ofta att de kunna hinna med mernarbete än avverkningen i egen skog Det är väl att de finnas för att avverkani bolagsskogarna Men skulle alla de ofullständiga jordbruk som kunna blinnågot så när självförsörjande genom tillförsel av mera skog inte få någonnsådan bli de så ofullständiga att ägarna måste lämna dem och det blir en avfolkningn just i och omkring storskogsbruket Då kan man fråga sig vem skallnutföra arbetet i dessa stora skogar när man inte längre har de personer somnförut haft rikligt arbete där till både bolagens och sin egen fördel De ha haftnen inkomst där vid sidan av sitt lilla jordbruk och sin skog,intro
Herr BERGH RAGNAR (h),intro
Herr BERGH RAGNAR (h),intro
Herr ANDERSSON BIRGER (s)nHerr talman Jag ber att få yrka bifalln till utskottets förslag,intro
Herr Paulsen Herr talman Jag måste säga att det förefaller mig mycketnegendomligt att den där järnvägen icke trafikeras Här ligger en järnväg fixnoch färdig en Järnväg som underhålles en järnväg som håller sig med personaln men ändå sköter man trafiken med bussar Det måste väl ändå vara dyrarenatt köra med bussar än att köra på järnväg ty gengasdrift är väl ändå denndyraste drift som finns och till på köpet är här också ont om bilgummi så attnde bilar som behöva förnya sina ringar icke kunna skaffa sig gummi Vorendet nu så besynnerligt om kommunikationsministern satte in en rälsbuss möjligenn med släpvagn för denna trafik Såvitt jag hörde rätt svarade kommunikationsministernn att det blir dyrt att köpa rälsbussen men herr statsråd ickenskulle det väl behöva köpas en rälsbuss för att trafikera en sådan liten sträckanMan har väl ändå i hela det stora järnvägsnätet här i landet så pass mycket pånlager av den varan av rälsbussar och släpvagnar att man icke skulle behövanköpa sådant utan kan skicka dit vad som behöves,intro
Anf 91 BIRGIT FRIGGEBO (fp),intro
Herr Åkerlund Herr talman Jag förstår inte det resultat vartill utskottetn kommit och det under dessa tider då man söker på alla möjliga sätt främjanegnahemsrörelsen vilket främjande jag hoppas framdeles skall ske på ett bättrenoch sundare sätt än det som här tagit sig uttryck,intro
GUNNEL JONÄNG (c),intro
Herr Andersson i Vigelsbo Herr talman Herr Lövgren har ansett signböra tacka herr statsrådet och chefen för socialdepartementet för det svar hannfick Jag anser mig pliktig att i min tur framföra ett tack till herr Lövgrennför att han fört på tal denna enligt min mening synnerligen viktiga fråga angåenden den illojala konkurrensen,intro
Herr Lindskog Herr talman När jag hörde socialministern yttra sig ochnhörde herr Lövgren tacka honom och visa sina flaskor kunde jag inte motstån frestelsen att erinra om en liten episod som hände för några år sedan dånjag i konstitutionsutskottet tillåtit mig att göra anmärkning mot ett lån somnhade lämnats till ett skönhetsinstitut Jag påvisade då från denna talarstolnatt precis dessa illojala metoder hade använts av detta skönhetsinstitut somnfått stöd från statens sida ,intro
Herr Vougt Herr talman Det förvånar mig att herr Lindskog i dettansammanhang uttalar att det skönhetsinstitut som för några år sedan förekomn i konstitutionsutskottets handlingar skulle bevisligen ha använt illojalanmetoder Det är mig inte bekant Men jag vet att den gången gällde det attnförhindra betydande avskedanden inom firman Det var således ett arbetslöshetsproblemn som det gällde då och ingenting annat,intro
Herr Lindskog Herr talman Jag vill endast tillägga att jag vid ifrågavaranden tillfälle stod i denna kateder och med en flaska i handen utförligt bevisaden och sedan för socialministern också visade hurusom illojala affärsmetodern hade använts,intro
Herr Sederholm Herr talman Jag har begärt ordet närmast för att återtagan mitt förut framställda yrkande om ändring av utskottets uttalande 1 en,intro
Herr JACOBSSON PER (fp),intro
Herr Olsson i Kullenbergstorp Herr talman Jag kan verkligen inte förstån att Kungl Majts proposition kan befordras genom de spetsigheter som härnutkastats mot de olika reservanterna Det ser ut som om vi hade gJort någotnsärskilt svårt högmålsbrott ty det är tämligen ovanligt i kammaren att mannpersonligen blir åtgången så som skett i detta fall,intro
Herr Linderot Herr talman Jag tror inte att vi skola låta detta förslagnutan vidare bifallas av riksdagen Jag kan inte förstå annat än att härnbegås en mycket grav orättvisa emot den arbetarkår som det här gällernnämligen sjöfolket Det har inte framförts några skäl som kunna betraktasnsåsom hållbar motivering för att man skall konfiskera en viss del av den avlöningn som sjömännen under livsfara intjäna till sitt levebröd Det talas sånvackra ord om det uppoffrande svenska sjöfolket hur modiga dessa sjömännäro som utsätta sig för risken att bli minsprängda bombade torpederadensom riskera sina liv för att frakta varor hem till Sverige så att svenska folketsnförsörjning skall kunna tryggas i görligaste mån Men sedan man sålundanprisat dessa modiga sjömän konfiskerar man deras intjänade avlöning till ennviss del Man föreslår här att den förhöjning de få av lönen på grund avnkrigsrisken skall insättas i svensk sparbank och viss del av sålunda insattnbelopp skall kunna innehållas upp till två år,intro
Herr Linnér Herr talman TI avseende å föredragningen av nu föreligganden utlåtande hemställes att detsamma må företagas till avgörande punktvisnoch punkten A på det sättet att till en början föredrages det av utskottet därintillstyrkta lagförslaget paragrafvis med slutstadganden ingress och rubriknsist varefter utskottets hemställan föredrages att vid behandlingen av dennparagraf varom först uppstår överläggning denna må omfatta utlåtandet indess helhet samt att lagtext ej må behöva uppläsas i vidare mån än sådant avnnågon kammarens ledamot begäres,intro
Herr LOTHIGIUS (h),intro
Herr THYLÉN (h),intro
Herr Meyerhöffer Herr talman Min lilla stillsamma anmärkning motnherr Lövgren utlöste ju ett fruktansvärt vredesutbrott Jag fick också ennorlovssedel av honom vari han talade om ofog förräderi emot länet och dyliktnsamt om allt det politiska renhållningsarbete han uträttat i Norrbotten Menndessa saker herr talman kan det vara onödigt att replikera mot,intro
Herr HECKSCHER (h),intro
Herr Olsson i Kullenbergstorp Herr talman Den föregående ärade talarenn anmärkte på och var förvånad över min ställning i denna fråga Jag fårnsäga att jag blev verkligen något förvånad över den kompromiss som träffadesnbeträffande frågan om avsättning till rusdrycksmedelsfonden Det hade jagnverkligen stor anledning att bli Den som icke hör till de inre cirklarna närnsådana kompromisser göras har verkligen svårt att få reda på vad ordennbetyda Vanligt folk som jag tror alltid att orden ha en betydelse att denicke blott stå liksom på parad Detta har gjort vilket jag sade i mitt förstananförande att jag ställt frågan under debatt i kammaren Jag skall mednstörsta jämnmod taga utgången Men jag tror verkligen att när man fattarnett beslut det är av vikt icke minst för statsutskottet att man har reda pånvad man avser med detta här i riksdagen Det gick ju så lekande och lätt medndenna kompromiss beträffande avsättningen till rusdrycksmedelsfonden Detnsåg ut alldeles som om det var rent av avtalat hur det skulle vara Man tycktentill och med att alla lämnade sina meningar bakom ryggen Om man frånnförsta början sedan det nya tillkommit slagit in på en sådan väg att manninte oupphörligen år efter år skulle behöva kivas om denna sak om vilkanslags anslag som skola utgå ur denna fond och vilka icke skola utgå därurnså hade det väl varit en mycket god sak,intro
Herr CarlssonFrosterud Herr talman Det är ju något nytt att finnanherr Olsson i Kullenbergstorp ute i fredssträvandenas tjänst Hans maning tillnenighet låter emellertid något sökt då man vet vilken ställning herr Olsson harnintagit vid behandlingen av rusdrycksmedelsfonden vid denna riksdag Dånman föreslog visst tillägg till 2 8 i Kungl Majts förslag motsatte sig herrnOlsson det med all kraft Då ville han inte att några medel skulle tagas urnrusdrycksmedelsfonden för något ändamål Men när det nu genom riksdagensnbeslut åstadkoms det tillägget att medel ur fonden kunna tagas för åtgärderntill nykterhetens befrämjande kommer herr Olsson och vill taga medel för alltnmöjligt ur fonden När han första gången inte fick sin vilja fram och intenkunde förhindra att tillägget blev gjort så vill han nu utnyttja fonden på detnsättet att för motverkande av allt som kan anses vara en sorglig följd av rusdryckshanteringenn medel skall tagas ur denna fond t o m när det gällernsmugglingens bekämpande Jag menar då att det är tämligen långsökt avnherr Olsson att vädja till oss som söka förfara i överensstämmelse med lagensnanda och mening att i enighetens tecken ge efter och giva honom rätt åtminstonen på en punkt Jag för min del finner i det nu föreliggande ärendet ingennanledning därtill och jag vidhåller mitt yrkande,intro
LARS TOBISSON (m) replik,intro
Herr JOHANSSON i Norrköping (s),intro
Herr andre vice talmannen erhöll på begäran ordet och anförde Herr talmann Jag hemställer att kammaren för sin del ville besluta att ett särskiltnutskott bestående av tjugufyra ledamöter tolv från vardera kammaren skallntillsättas för behandling av ej mindre Kungl Majts proposition nr 122 angåenden förstatligande av den allmänna väghållningen på landet än även denytterligare framställningar som kunna komma att av Kungl Majt eller inenskilda motioner göras i detta ämne eller andra i omedelbart samband därmedn stående frågor ävensom att första kammaren skall inbjudas att i dettanbeslut förena sig med andra kammaren,intro
Herr VELANDER (kort genmäle)nHerr talman Jag noterar med tacksamhetn det anförande som hölls av utskottetsn vice ordförande och som innefattaden ett erkännande av att han för sinndel nödgades instämma i det mesta avnvad reservanterna ha anfört Han underströkn mycket starkt att det var fråganom ett provisorium i avvaktan på dennreglering av ortsavdragen som skyndsammastn möjligt borde äga rum Jag villndärtill endast säga att det med hänsynntill skatteunderlaget ute i kommunernanär uteslutet att man vid den regleringenn kommer fram till att detta provisoriumn kan bliva beståndande,intro
Herr HERLITZ Herr talman Vad herrnSten sade i slutet av sitt anförande berörden en hjärtesak för mig Han villentolka min opposition här i dag mot ettnenligt min tanke fullkomligt felriktat ochnicke genomtänkt uppslag så att jag skullen ha en konservativ inställning i fråganom vår författning Vid otaliga tillfällenn har jag dock här stått och predikatniust detta som jag hade glädjen att höranherr Sten nu åberopa nämligen att vinleva i en dynamisk tid och att dennantid kräver omskapande av vår författningn i varjehanda hänseenden Detta ärnför mig alldeles självklart och jag ärnglad över det intresse som herr Stennockså visat för denna tanke,intro
ANDERS DAHLGREN (c),intro
Jordbruksministern ERIC ENLUND,intro
Fru KRISTENSSON (m),intro
Fru SKANTZ (s),intro
Herr WIKLUND i Stockholm (fp),intro
Herr kommunikationsministern NORLING,intro
Herr HANSSON GUSTAF HENRYn(h),intro
Herr SCHÖTT (h),intro
Herr LARSSON i Luttra (cp),intro
Herr CARLSSON i Bakeröd (cp)nHerr talman Andra lagutskottet har,intro
Herr Lindman Herr talman När riksdagen i fjol fattade sitt beslut mednanledning av Kungl Majts proposition nr 50 angående ny härordning beslötnriksdagen att detta anslag skulle utgå med 700000 kronor om året Det varnväl då riksdagens mening att man skulle för varje år använda ett belopp avn700000 kronor för härens och befälets övning och inte för besparing Besparingarn måste visserligen uppkomma på ett reservationsanslag som herr Andersonn i Råstock anförde men riksdagens mening har väl varit att det skall användasn för sitt ändamål att det är en nyttig sak och en nödvändig sak attnhären erhåller den övning och utbildning som ligger i anordnandet av fälttjänstövningarn och inte att det skall inbesparas Sålunda menar jag att om riksdagenn bara i detta fall vidhåller vad riksdagen vid tillskapandet av härordningsförslagetn i fjol var inne på och då biföll nämligen ett anslag av 700000nkronor om året skulle det vara alldeles uppenbart att riksdagen skulle anslån700000 kronor minst vid detta år då ännu inte reduktionen har trätt i kraftnbeträffande truppförbanden Egentligen skulle riksdagen anslå mera då reduktionenn av härens styrka ej trätt i kraft när detta anslag skall användasnmen jag skall lämna denna sak åsido Det är för mig alldeles självklart attnman har menat att använda detta anslag för att öva hären Jag skall endastninskränka mig till det påpekandet som är gjort i motionen att de 640000nsom nu äro begärda inte 700000 utan 640000 inte äro jämförbara ens medndet som riksdagen i fjol beslutade på grund av att dessa traktamentsersättningarn som herr Jönsson i Revinge har påpekat förut utgått från andra anslagnmen nu skola tagas av detta Det är uppenbart att det anslag som man inrealiteten lämnar jämfört med vad man förut lämnat är relativt mindre än den640000 Det synes mig därför herr talman alldeles i strid mot vad riksdagennuttalat i fjol om riksdagen nu gick på bifall till reservationen,intro
